game_id,hand_value,nb_bouts,nb_bouts_dog,taking,taking_bid_order,number_of_points_achieved,nb_bouts_achieved,reward
105,24.0,2,0,0,0,31.0,2,6
105,23.0,0,0,1,1,0,0,-18
105,27.0,0,0,0,0,41.0,1,6
106,17.0,0,0,0,0,14.0,0,-2
106,27.0,2,0,1,1,30.0,3,2
106,18.0,1,0,0,0,15.0,0,-2
106,22.0,0,0,0,0,21.0,0,-2
107,20.0,1,0,0,0,4.0,0,2
107,15.0,0,0,0,0,36.0,1,2
107,29.0,2,0,1,1,29.0,2,-6
107,20.0,0,0,0,0,15.0,0,2
108,20.0,1,1,0,0,29.0,2,5
108,20.0,0,1,1,1,13.0,0,-15
108,20.0,1,1,0,0,11.0,1,5
108,24.0,0,1,0,0,32.0,0,5
109,24.0,1,0,0,0,21.0,1,3
109,15.0,0,0,1,1,30.0,1,-9
109,26.0,2,0,0,0,17.0,1,3
109,23.0,0,0,0,0,20.0,0,3
110,26.0,1,1,0,0,30.0,1,1
110,13.0,0,1,1,1,32.0,2,-3
110,24.0,0,1,0,0,16.0,0,1
110,20.0,1,1,0,0,9.0,0,1
111,17.0,1,0,0,0,11.0,1,3
111,25.0,1,0,0,0,36.0,1,3
111,19.0,1,0,0,0,19.0,1,3
111,24.0,0,0,1,1,17.0,0,-13
112,26.0,1,0,0,0,28.0,2,3
112,22.0,1,0,0,0,8.0,0,3
112,21.0,1,0,1,1,27.0,1,-9
112,15.0,0,0,0,0,20.0,0,3
113,23.0,0,0,0,0,13.0,0,3
113,21.0,1,0,1,1,25.0,1,-9
113,20.0,1,0,0,0,21.0,0,3
113,19.0,1,0,0,0,26.0,2,3
114,31.0,1,1,0,0,10.0,0,2
114,22.0,1,1,0,0,40.0,1,2
114,15.0,0,1,0,0,12.0,0,2
114,16.0,0,1,1,1,24.0,2,-6
115,20.0,1,0,0,0,0,0,1
115,19.0,0,0,0,0,18.0,1,1
115,21.0,2,0,1,1,34.0,2,-3
115,25.0,0,0,0,0,33.0,0,1
116,18.0,0,0,0,0,26.0,0,-1
116,30.0,2,0,1,1,45.0,2,3
116,15.0,1,0,0,0,4,1,-1
116,21.0,0,0,0,0,10.0,0,-1
117,19.0,0,0,0,0,15.0,0,-1
117,23.0,1,0,0,0,12.0,1,-1
117,14.0,1,0,1,1,46.0,2,3
117,29.0,1,0,0,0,12.0,0,-1
118,20.0,0,0,0,0,2.0,0,2
118,25.0,2,0,1,1,30.0,2,-6
118,24.0,1,0,0,0,34.0,1,2
118,17.0,0,0,0,0,16.0,0,2
119,20.0,0,1,0,0,4.0,0,-1
119,21.0,0,1,0,0,13.0,1,-1
119,30.0,2,1,1,1,48.0,2,3
119,13.0,0,1,0,0,19.0,0,-1
120,13.0,0,0,0,0,7.0,0,3
120,22.0,0,0,1,1,32.0,0,-9
120,23.0,1,0,0,0,21.0,1,3
120,23.0,2,0,0,0,23.0,2,3
121,11.0,0,1,0,0,22.0,1,1
121,27.0,0,1,0,0,25.0,0,1
121,27.0,2,1,1,1,36.0,2,-3
121,18.0,0,1,0,0,5.0,0,1
122,27.0,0,1,0,0,29.0,0,2
122,13.0,0,1,0,0,15.0,0,2
122,21.0,1,1,1,1,21.0,3,-6
122,21.0,1,1,0,0,17.0,0,2
123,15.0,0,0,0,0,9.0,0,5
123,22.0,0,0,1,1,7.0,0,-15
123,19.0,2,0,0,0,20.0,1,5
123,31.0,1,0,0,0,48.0,2,5
124,21.0,2,0,0,0,31.0,2,6
124,19.0,0,0,1,1,6.0,0,-18
124,14.0,0,0,0,0,14.0,0,6
124,29.0,1,0,0,0,33.0,1,6
125,29.0,1,0,0,0,21.0,2,3
125,11.0,0,0,1,1,32.0,0,-9
125,24.0,1,0,0,0,23.0,1,3
125,24.0,1,0,0,0,12.0,0,3
126,15.0,0,0,0,0,38.0,1,5
126,22.0,0,0,1,1,11.0,0,-15
126,30.0,3,0,0,0,19.0,2,5
126,19.0,0,0,0,0,16.0,0,5
127,23.0,0,0,0,0,7.0,0,3
127,26.0,2,0,1,1,20.0,2,-9
127,16.0,0,0,0,0,34.0,0,3
127,19.0,1,0,0,0,23.0,1,3
128,21.0,0,0,1,1,34.0,0,-9
128,22.0,1,0,0,0,11.0,0,3
128,20.0,0,0,0,0,5.0,0,3
128,19.0,2,0,0,0,38.0,3,3
129,21.0,0,0,0,0,13.0,0,2
129,19.0,1,0,0,0,15.0,1,2
129,20.0,2,0,0,0,16.0,1,2
129,22.0,0,0,1,1,35.0,1,-6
130,26.0,1,1,1,1,58.0,3,9
130,13.0,0,1,0,0,2.0,0,-3
