hand_value,nb_bouts,taking,taking_bid_order,number_of_points_achieved,nb_bouts_achieved,reward
17.0,0,1,2,29.0,1,-12
29.0,0,0,0,41.0,1,4
23.0,2,0,0,11.0,1,4
18.0,1,1,2,38.0,2,6
29.0,0,0,0,16.0,0,-2
12.0,0,0,0,8.0,0,-2
18.0,1,0,1,23.0,1,-2
22.0,1,0,0,12.0,2,3
17.0,0,0,0,10.0,0,3
22.0,1,0,0,41.0,1,3
24.0,0,1,1,25.0,1,-9
17.0,0,0,0,2.0,0,4
29.0,3,0,0,50.0,3,4
17.0,0,1,1,20.0,1,-12
24.0,0,0,0,14.0,0,4
16.0,0,0,0,17.0,0,6
25.0,2,0,0,36.0,2,6
24.0,1,0,0,22.0,1,6
20.0,0,1,2,7.0,0,-18
24.0,0,1,2,23.0,0,-15
19.0,1,0,0,17.0,1,5
24.0,1,0,0,34.0,1,5
21.0,1,0,1,10.0,1,5
24.0,1,0,1,27.0,1,4
27.0,0,0,0,24.0,0,4
19.0,1,1,2,27.0,1,-12
18.0,1,0,0,12.0,1,4
21.0,1,0,0,33.0,1,3
19.0,1,0,0,8.0,1,3
20.0,0,1,1,16.0,2,-9
22.0,1,0,0,25.0,0,3
30.0,2,0,1,29.0,3,4
21.0,0,1,2,21.0,2,-12
13.0,0,0,0,24.0,0,4
23.0,1,0,0,23.0,1,4
18.0,1,1,2,6.0,0,-21
24.0,0,0,0,14.0,0,7
13.0,0,0,0,22.0,0,7
23.0,1,0,1,30.0,1,7
32.0,0,1,2,11.0,0,-18
11.0,0,0,0,12.0,0,6
17.0,0,0,0,10.0,0,6
22.0,2,0,0,28.0,2,6
23.0,1,0,0,15.0,0,4
22.0,2,0,0,32.0,3,4
18.0,0,0,0,15.0,0,4
20.0,0,1,1,26.0,0,-12
24.0,1,0,0,22.0,1,2
11.0,0,0,0,14.0,1,2
27.0,2,0,0,20.0,1,2
22.0,0,1,2,32.0,2,-6
29.0,0,0,0,51.0,1,5
23.0,2,0,0,24.0,2,5
24.0,1,0,0,10.0,1,5
12.0,0,1,1,14.0,0,-15
13.0,0,0,0,25.0,2,4
22.0,0,1,2,22.0,1,-12
29.0,2,0,0,25.0,2,4
19.0,1,0,1,12.0,0,4
24.0,0,0,0,14.0,0,3
23.0,1,1,1,30.0,0,-9
13.0,0,0,0,34.0,2,3
28.0,1,0,0,10.0,0,3
14.0,0,0,1,10.0,0,5
29.0,1,0,0,44.0,2,5
19.0,0,1,2,16.0,1,-15
19.0,0,0,0,17.0,0,5
23.0,2,0,0,21.0,2,5
23.0,0,0,0,14.0,0,5
15.0,0,0,0,26.0,0,5
25.0,1,1,2,13.0,1,-15
29.0,2,0,0,21.0,2,3
22.0,1,0,0,8.0,0,3
14.0,0,0,0,15.0,0,3
17.0,0,1,2,35.0,1,-9
